annotation_id	typeOfAnalysis	p_times	ranking
hsa05140	TFs_Hypergeom	0.063	192.0
hsa04620	TFs_Hypergeom	0.06	192.0
hsa04261	TFs_Hypergeom	0.055	192.0
hsa04070	Target_Hypergeom	0.158	192.0
hsa05164	TFs_Hypergeom	0.065	192.5
hsa04371	TFs_Hypergeom	0.096	192.5
hsa05133	TFs_Hypergeom	0.071	192.5
hsa04210	TFs_Hypergeom	0.061	192.5
hsa04918	TFs_Hypergeom	0.054	192.5
hsa04911	TFs_Hypergeom	0.057	192.5
hsa04921	TFs_Hypergeom	0.066	192.5
hsa04973	Target_Hypergeom	0.154	193.0
hsa04142	Target_NonCentral	0.051	193.0
hsa00770	Target_NonCentral	0.032	193.0
hsa05110	Target_NonCentral	0.017	193.0
hsa04977	Target_NonCentral	0.015	193.0
hsa04520	TFs_Hypergeom	0.073	193.25
hsa01200	Target_NonCentral	0.097	193.5
hsa05219	TFs_Hypergeom	0.101	194.0
hsa04725	TFs_Hypergeom	0.037	194.0
hsa04920	TFs_Hypergeom	0.047	194.0
hsa05034	TFs_Hypergeom	0.027	194.0
hsa04714	TFs_Hypergeom	0.027	194.5
hsa05218	TFs_Hypergeom	0.055	195.0
hsa05217	TFs_Hypergeom	0.048	195.0
hsa05017	TFs_Hypergeom	0.063	195.0
hsa00330	Target_NonCentral	0.009	195.0
hsa00120	Target_NonCentral	0.051	195.0
hsa04012	TFs_Hypergeom	0.049	195.25
hsa04066	TFs_Hypergeom	0.042	195.5
hsa03018	Target_NonCentral	0.045	195.5
hsa05022	TFs_Hypergeom	0.002	196.0
hsa05010	TFs_Hypergeom	0.005	196.0
hsa05012	TFs_Hypergeom	0.015	196.0
hsa05415	TFs_Hypergeom	0.037	196.0
hsa04728	Target_Hypergeom	0.123	196.0
hsa00040	Target_NonCentral	0.13	196.0
hsa04713	Target_Hypergeom	0.139	196.0
hsa04714	Target_NonCentral	0.014	196.0
hsa05145	TFs_Hypergeom	0.026	196.5
hsa05142	TFs_Hypergeom	0.025	196.5
hsa05130	TFs_Hypergeom	0.022	196.5
hsa05214	TFs_Hypergeom	0.034	197.0
hsa05231	TFs_Hypergeom	0.033	197.5
hsa05211	TFs_Hypergeom	0.044	197.5
hsa05206	Target_NonCentral	0.037	197.5
hsa03320	TFs_Hypergeom	0.032	198.0
hsa04912	TFs_Hypergeom	0.033	198.0
hsa05134	TFs_Hypergeom	0.024	198.0
hsa04120	Target_Hypergeom	0.113	198.0
hsa05014	TFs_Hypergeom	0.001	198.0
hsa05020	Target_NonCentral	0.009	198.0
hsa04962	TFs_Hypergeom	0.026	198.25
hsa04064	TFs_Hypergeom	0.019	198.5
hsa04071	TFs_Hypergeom	0.008	198.5
hsa00524	Target_Hypergeom	0.207	198.5
hsa04623	TFs_Hypergeom	0.011	199.0
hsa04622	TFs_Hypergeom	0.011	199.0
hsa04612	TFs_Hypergeom	0.025	199.0
hsa04141	TFs_Hypergeom	0.03	199.0
hsa04710	TFs_Hypergeom	0.189	199.0
hsa05120	TFs_Hypergeom	0.013	199.0
hsa00524	Target_NonCentral	0.058	199.0
hsa00591	Target_NonCentral	0.027	199.0
hsa05230	TFs_Hypergeom	0.019	199.5
